Indicatif,Pays
1313,Michigan (États-Unis)
1314,Missouri (États-Unis)
1315,New York (États-Unis)
1316,Kansas (États-Unis)
1317,Indiana (États-Unis)
1318,Louisiane (États-Unis)
1319,Iowa (États-Unis)
1320,Minnesota (États-Unis)
1321,Floride (États-Unis)
1323,Californie (États-Unis)
1325,Texas (États-Unis)
1326,Ohio (États-Unis)
1327,Arkansas (États-Unis)
1330,Ohio (États-Unis)
1331,Illinois (États-Unis)
1332,New York (États-Unis)
1334,Alabama (États-Unis)
1336,Caroline Du Nord (États-Unis)
1337,Louisiane (États-Unis)
1339,Massachusetts (États-Unis)
1340,Usvi (États-Unis)
1341,Californie (États-Unis)
1343,Ontario (Canada)
1345,Îles Caïmans
1346,Texas (États-Unis)
1347,New York (États-Unis)
1351,Massachusetts (États-Unis)
1352,Floride (États-Unis)
1353,États-Unis
1354,Quebec (Canada)
1360,Washington (États-Unis)
1361,Texas (États-Unis)
1364,Kentucky (États-Unis)
1365,Ontario (Canada)
1367,"Quebec, Canada)"
1368,Alberta (Canada)
1369,États-Unis
1380,Ohio (États-Unis)
1382,Canada
1385,Utah (États-Unis)
1386,Floride (États-Unis)
1387,Canada
1401,Rhode Island (États-Unis)
1402,Nebraska (États-Unis)
1403,Alberta (Canada)
1404,Géorgie (États-Unis)
1405,Oklahoma (États-Unis)
1406,Montana (États-Unis)
1407,Floride (États-Unis)
1408,Californie (États-Unis)
1409,Texas (États-Unis)
1410,Maryland (États-Unis)
1412,Pennsylvanie (États-Unis)
1413,Massachusetts (États-Unis)
1414,Wisconsin (États-Unis)
1415,Californie (États-Unis)
1416,Ontario (Canada)
1417,Missouri (États-Unis)
1418,"Quebec, Canada)"
1419,Ohio (États-Unis)
1423,Tennessee (États-Unis)
1424,Californie (États-Unis)
1425,Washington (États-Unis)
1428,Nouveau-Brunswick (Canada)
1430,Texas (États-Unis)
1431,Manitoba (Canada)
1432,Texas (États-Unis)
1434,Virginie (États-Unis)
1435,Utah (États-Unis)
1437,Ontario (Canada)
1438,"Quebec, Canada)"
1440,Ohio (États-Unis)
1441,Bermudes
1442,Californie (États-Unis)
1443,Maryland (États-Unis)
1445,Pennsylvanie (États-Unis)
1447,Illinois (États-Unis)
1448,Floride (États-Unis)
1450,Quebec (Canada)
1458,Oregon (États-Unis)
1460,Canada
1463,Indiana (États-Unis)
1464,Illinois (États-Unis)
1468,Canada
1469,Texas (États-Unis)
1470,Géorgie (États-Unis)
1473,Grenade
1474,Saskatchewan (Canada)
1475,Connecticut (États-Unis)
1478,Géorgie (États-Unis)
1479,Arkansas (États-Unis)
1480,Arizona (États-Unis)
1484,Pennsylvanie (États-Unis)
1487,Canada
1501,Arkansas (États-Unis)
1502,Kentucky (États-Unis)
1503,Oregon (États-Unis)
1504,Louisiane (États-Unis)
1505,Nouveau-Mexique (États-Unis)
1506,Nouveau-Brunswick (Canada)
1507,Minnesota (États-Unis)
1508,Massachusetts (États-Unis)
1509,Washington (États-Unis)
1510,Californie (États-Unis)
1512,Texas (États-Unis)
1513,Ohio (États-Unis)
1514,"Quebec, Canada)"
1515,Iowa (États-Unis)
1516,New York (États-Unis)
1517,Michigan (États-Unis)
1518,New York (États-Unis)
1519,Ontario (Canada)
1520,Arizona (États-Unis)
1525,États-Unis
1526,États-Unis
1530,Californie (États-Unis)
1531,Nebraska (États-Unis)
1534,Wisconsin (États-Unis)
1537,Canada
1539,Oklahoma (États-Unis)
1540,Virginie (États-Unis)
1541,Oregon (États-Unis)
1548,Ontario (Canada)
1551,New Jersey (États-Unis)
1557,Missouri (États-Unis)
1559,Californie (États-Unis)
1561,Floride (États-Unis)
1562,Californie (États-Unis)
1563,Iowa (États-Unis)
1564,Washington (États-Unis)
1567,Ohio (États-Unis)
1568,Canada
1570,Pennsylvanie (États-Unis)
1571,Virginie (États-Unis)
1572,Oklahoma (États-Unis)
1573,Missouri (États-Unis)
1574,Indiana (États-Unis)
1575,Nouveau-Mexique (États-Unis)
1579,Quebec (Canada)
1580,Oklahoma (États-Unis)
1581,Quebec (Canada)
1582,Pennsylvanie (États-Unis)
1584,Canada
1585,New York (États-Unis)
1586,Michigan (États-Unis)
1587,Alberta (Canada)
1600,Canada
1601,Mississippi (États-Unis)
1602,Arizona (États-Unis)
1603,New Hampshire (États-Unis)
1604,Colombie-Britannique (Canada)
1605,Dakota Du Sud (États-Unis)
1606,Kentucky (États-Unis)
1607,New York (États-Unis)
1608,Wisconsin (États-Unis)
1609,New Jersey (États-Unis)
1610,Pennsylvanie (États-Unis)
1612,Minnesota (États-Unis)
1613,Ontario (Canada)
1614,Ohio (États-Unis)
1615,Tennessee (États-Unis)
1616,Michigan (États-Unis)
1617,Massachusetts (États-Unis)
1618,Illinois (États-Unis)
1619,Californie (États-Unis)
1620,Kansas (États-Unis)
1622,Canada (Canada)
1623,Arizona (États-Unis)
1626,Californie (États-Unis)
1627,États-Unis
1628,Californie (États-Unis)
1629,Tennessee (États-Unis)
1630,Illinois (États-Unis)
1631,New York (États-Unis)
1636,Missouri (États-Unis)
1639,Saskatchewan (Canada)
1640,New Jersey (États-Unis)
1641,Iowa (États-Unis)
1646,New York (États-Unis)
1647,Ontario (Canada)
